Verb,Translation,io,tu,lui/lei,noi,voi,loro,Regularity
Abitare,to live,abito,abiti,abita,abitiamo,abitate,abitano,regular
Studiare,to study,studio,studi,studia,studiamo,studiate,studiano,regular
Lavorare,to work,lavoro,lavori,lavora,lavoriamo,lavorate,lavorano,regular
Pensare,to think,penso,pensi,pensa,pensiamo,pensate,pensano,regular
Parlare,to talk,parlo,parli,parla,parliamo,parlate,parlano,regular
Arrivare,to arrive,arrivo,arrivi,arriva,arriviamo,arrivate,arrivano,regular
Cominciare,to begin,comincio,cominci,comincia,cominciamo,cominciate,cominciano,regular
Ascoltare,to listen,ascolto,ascolti,ascolta,ascoltiamo,ascoltate,ascoltano,regular
Ordinare,to order,ordino,ordini,ordina,ordiniamo,ordinate,ordinano,regular
Portare,to bring,porto,porti,porta,portiamo,portate,portano,regular
Giocare a,to play,gioco,giochi,gioca,giochiamo,giocate,giocano,regular
Dimenticare,to forget,dimentico,dimentichi,dimentica,dimentichiamo,dimenticate,dimenticano,regular
Suonare,to play (instrument),suono,suoni,suona,suoniamo,suonate,suonano,regular
Ritornare,to return,ritorno,ritorni,ritorna,ritorniamo,ritornate,ritornano,regular
Ballare,to dance,ballo,balli,balla,balliamo,ballate,ballano,regular
Mangiare,to eat,mangio,mangi,mangia,mangiamo,mangiate,mangiano,regular
Telefonare a,to call,telefono,telefoni,telefona,telefoniamo,telefonate,telefonano,regular
Comprare,to buy,compro,compri,compra,compriamo,comprate,comprano,regular
Pagare,to pay,pago,paghi,paga,paghiamo,pagate,pagano,regular
Spiegare,to explain,spiego,spieghi,spiega,spieghiamo,spiegate,spiegano,regular
Guidare,to drive,guido,guidi,guida,guidiamo,guidate,guidano,regular
Amare,to love,amo,ami,ama,amiamo,amate,amano,regular
Guardare,to watch,guardo,guardi,guarda,guardiamo,guardate,guardano,regular
Dare,to give,do,dai,dà,diamo,date,danno,regular
Stare,to stay,sto,stai,sta,stiamo,state,stanno,regular
Fare,to do/to make,faccio,fai,fa,facciamo,fate,fanno,regular
Andare,to go,vado,vai,va,andiamo,andate,vanno,regular
Leggere,to read,leggo,leggi,legge,leggiamo,leggete,leggono,regular
Dormire,to sleep,dormo,dormi,dorme,dormiamo,dorite,dormono,regular
Vivere,to live,vivo,vivi,vive,viviamo,vivete,vivono,regular
Partire,to leave,parto,parti,parte,partiamo,partete,partono,regular
Capire,to understand,capisco,capisci,capisce,capiamo,capite,capiscono,irregular
Finire,to finish,finisco,finisci,finisce,finiamo,finite,finiscono,irregular
Preferire,to prefer,preferisco,preferisci,preferisce,preferiamo,preferite,preferiscono,irregular
Pulire,to clean,pulisco,pulisci,pulisce,puliamo,pulite,puliscono,irregular
Bere,to drink,bevo,bevi,beve,beviamo,bevete,bevono,irregular
Dire,to tell / to say,dico,dici,dice,diciamo,dite,dicono,irregular
Uscire,to go out socially,esco,esci,esce,usciamo,uscite,escono,irregular
testire,test,test,test,test,test,test,test,irregular
